text,label
"I am feeling on top of the world today!",joy
"Everything is going just perfect!",happy
"I'm not feeling much today, just neutral.",neutral
"Why does everything always go wrong?",angry
"I see the bright side in every situation!",optimistic
"Today is the best day ever!",joy
"Things are going well, can't complain.",happy
"Life is okay, nothing special.",neutral
"Everything is frustrating me right now.",angry
"I try to stay hopeful no matter the challenges.",optimistic
"Feeling awesome about everything!",joy
"I'm very happy to be alive today!",happy
"I'm just going through the motions.",neutral
"I can't believe how unfair everything is.",angry
"There's always hope for a better future.",optimistic
"Absolutely thrilled to start the day!",joy
"Grateful for today, so much happiness.",happy
"Just another day, nothing exciting.",neutral
"I feel like I'm stuck in a rut.",angry
"Optimism is the key to success.",optimistic
"Today feels like the best day ever!",joy
"Everything seems to be working out so well.",happy
"Meh, nothing really stands out today.",neutral
"I can't handle this anymore, I'm so angry.",angry
"I always try to stay hopeful despite everything.",optimistic
"I'm filled with joy, can't help it!",joy
"Every day is a reason to smile!",happy
"I'm just floating through today.",neutral
"People just don't understand me, I'm so angry.",angry
"I choose to see the good in every situation.",optimistic
"I'm feeling so full of energy today!",joy
"So much happiness in my heart right now!",happy
"Today is just an ordinary day.",neutral
"I feel so frustrated and overwhelmed.",angry
"I'll find a way through this, I know it.",optimistic
"I can't stop smiling today!",joy
"Everything is so perfect right now!",happy
"Life is boring today, just going through it.",neutral
"Everything is going wrong, I hate it.",angry
"There's always a silver lining to every cloud.",optimistic
"Feeling great, can't explain it!",joy
"I'm so happy today, everything's perfect!",happy
"I'm indifferent about everything today.",neutral
"I'm so angry right now, nothing makes sense.",angry
"I'll stay positive no matter what.",optimistic
"Such a beautiful day, I'm filled with joy!",joy
"Nothing could bring me down today, I'm so happy!",happy
"I'm not sure how I feel, maybe just indifferent.",neutral
"Why does everything frustrate me?",angry
"Optimism is the best approach in life.",optimistic
"I'm ecstatic, everything is going great!",joy
"Life is so wonderful right now!",happy
"I'm just here, nothing special.",neutral
"Nothing ever works out the way I want.",angry
"I believe things will get better eventually.",optimistic
"Just can't stop smiling today!",joy
"Everything feels perfect, what a great day!",happy
"Today is just another regular day.",neutral
"I can't take this anymore, I'm furious!",angry
"With optimism, anything is possible.",optimistic
"I'm overwhelmed with joy right now!",joy
"Feeling so happy and grateful for everything.",happy
"I'm not particularly happy or sad today.",neutral
"I just want to scream, everything is wrong!",angry
"Staying hopeful, things will get better.",optimistic
"Today is the best day in a long time!",joy
"Everything seems to be falling into place.",happy
"Life is fine, nothing to complain about.",neutral
"Everything just keeps going wrong, it's exhausting.",angry
"I trust that good things are coming my way.",optimistic
"I'm having the best day ever!",joy
"Just really happy to be here today.",happy
"I'm feeling like it's just an average day.",neutral
"I can't deal with this anymore, I'm so angry.",angry
"Tomorrow will be better, I'm sure of it.",optimistic
"Today is such a joyous day!",joy
"I'm filled with happiness today!",happy
"I'm just going through the motions today.",neutral
"Everything is irritating me right now.",angry
"I know everything will work out in the end.",optimistic
"Pure joy today, can't explain it!",joy
"So much happiness, it's overwhelming!",happy
"Everything seems ordinary today.",neutral
"Everything is making me so angry today.",angry
"I'm choosing to stay positive and hopeful.",optimistic
"Such a joyful heart today!",joy
"Everything is just perfect, so happy!",happy
"Just another normal day, nothing special.",neutral
"I can't stand this, everything is wrong.",angry
"I will keep going with hope.",optimistic
"I'm radiating joy today!",joy
"I'm so happy, I feel like flying!",happy
"Life is okay, no complaints, just neutral.",neutral
"I can't believe how unfair this is, I'm so angry!",angry
"I believe everything will get better soon.",optimistic
"Can't stop smiling, everything feels amazing!",joy
"I'm overjoyed today!",happy
"Feeling neutral, not much to say.",neutral
"I feel so angry about everything right now.",angry
"Staying optimistic, I will make it through.",optimistic
"I'm so joyful today, everything is perfect!",joy
"I'm extremely happy with my life right now!",happy
"Nothing special, just a regular day.",neutral
"I can't handle this frustration, I'm furious!",angry
"Looking at the bright side of things.",optimistic
"Feeling so joyous today!",joy
"So much happiness flowing in me!",happy
"I'm feeling indifferent about everything.",neutral
"I can't stand this, everything is so frustrating.",angry
"Optimism always wins, I'm staying hopeful.",optimistic
"Such a happy day, full of joy!",joy
"Today is amazing, so much happiness.",happy
"I'm neither happy nor sad today.",neutral
"Everything is just annoying me right now.",angry
"I know everything will turn out okay.",optimistic
"Joy fills my heart today!",joy
"I'm feeling so happy and grateful!",happy
"Nothing exciting happening today, just neutral.",neutral
"I'm so angry, nothing is going right.",angry
"Staying positive, good things are coming.",optimistic
"Overjoyed today!",joy
"Life is so beautiful today, feeling happy.",happy
"Just going with the flow, nothing special.",neutral
"I'm really angry at everything right now.",angry
"Optimism is my guide, I know things will improve.",optimistic
"I'm so full of joy today!",joy
"Such happiness fills my soul!",happy
"I'm just coasting through today.",neutral
"I feel so frustrated with everything.",angry
"I believe good things are coming my way.",optimistic
"Today feels like the best day ever!",joy
"I'm so happy with how everything is going!",happy
"I'm feeling neutral, just another day.",neutral
"Everything is frustrating me so much!",angry
"I know things will improve, staying optimistic.",optimistic
